recording_id,song_title,artist,artist_id,musicbrainz_tags,target_genre,lrclib_artist,lrclib_title,lyrics,lyrics_found,language
d329c950-12d8-4e9a-9097-860254a170cb,Gemini,Anne‐Marie,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,electropop,Pop,Anne-Marie,Gemini,"I don't feel like you know me anymore
Like I don't know me anymore, yeah
Say where's that girl we knew before
'Cause we don't see her anymore, yeah
Used to get lost in conversation
But it seems we've hit a nerve

'Cause I've been around the world
Baby girl, don't think of it like that
I'm on the road, no telephone, no time to call you back
Oh, you pushed my buttons too far lately
Take that chip off your shoulder maybe, yeah

I'll wait forever just to get you alone together
You're my home from home
I swear that I'm sincere
Yeah, I can't lie, no

You know that I'll wait forever
Just to get you alone together
You're my home from home
I swear that I'm sincere
Yeah, I can't lie, no

You are my Gemini
You are my Gemini
You are my Gemini
You are my Gemini

I ain't been sleeping much at all
Too many meetings to recall
And I've been swept up by a storm
But didn't feel the calm at all, yeah, yeah
And now I'm lost in conversation
But I'm not being heard, uh, uh

'Cause I've been around the world
Baby girl, don't think of it like that
I'm on the road, no telephone, no time to call you back
Oh, you pushed my buttons too far lately
Take that chip off your shoulder maybe

I'll wait forever just to get you alone together
You're my home from home
I swear that I'm sincere
Yeah, I can't lie, no

You know that I'll wait forever
Just to get you alone together
You're my home from home
I swear that I'm sincere
Yeah, I can't lie, no

You are my Gemini
You are my Gemini
You are my Gemini
You are my Gemini",True,en
c57fcb7b-d663-4a5f-89b7-d5735e5a9b60,Peak,Anne‐Marie,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,electropop,Pop,Anne-Marie,Peak,"Wasn't I enough?
Didn't I amount to you?
I don't blame you for the love
That I lost to you
It will take time
A lot of heartache too
But I was in love
I thought you were too

No one compares, if I'm honest
I've beaten myself blue
I wish you could've been honest
Instead of trying to look cool

Did I breathe? Did I?
Did I sleep?
Did I eat?
Did I cheat? Did I?
Did I do something wrong?
Did I hit the peak? Did I?
Did I feel?
Did I steal?
No, I didn't do anything but love

Now we get along
That's just what we have to do
I know every song
Sang out my heart for you
I've gotta stay humble
And you have to too
It was the hope, he crumbles
Where it once stood tall

No one compares, if I'm honest
I've beaten myself blue
I wish you could've been honest
Instead of trying to look cool

Did I breathe? Did I?
Did I sleep?
Did I eat?
Did I cheat? Did I?
Did I do something wrong?
Did I hit the peak? Did I?
Did I feel?
Did I steal?
No, I didn't do anything but love",True,en
4e1e90e0-56f0-4e76-ad9c-c05c9d68107b,Peak (stripped),Anne‐Marie,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,"pop, electropop",Pop,Anne-Marie,Peak - Stripped,"Wasn't I enough?
Didn't I amount to you?
I don't blame you for the love
That I lost to you
It will take time
A lot of heartache too
But I was in love
I thought you were too

No one compares, if I'm honest
I've beaten myself blue
I wish you could've been honest
Instead of trying to look cold

Did I breathe? Did I?
Did I sleep?
Did I eat?
Did I cheat? Did I?
Did I do something wrong?
Did I hit the peak? Did I?
Did I feel?
Did I steal?
No, I didn't do anything but love

Now we get along
That's just what we have to do
But I know every song
Sang out my heart for you
I've gotta stay humble
And you have to too
It was the hope, he crumbles
Where it once stood tall

No one compares, if I'm honest
I've beaten myself blue
I wish you could've been honest
Instead of trying to look cold

Did I breathe? Did I?
Did I sleep?
Did I eat?
Did I cheat? Did I?
Did I do something wrong?
Did I hit the peak? Did I?
Did I feel?
Did I steal?
No, I didn't do anything but love",True,en
259911d0-ef81-487e-922f-4c76ed176a6a,Trigger,Anne‐Marie,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,electropop,Pop,Anne-Marie,Trigger,"I don't even wanna open this door
No, I don't wanna step inside
All of our history is scattered on the floor
Blurring all the enemy lines
We're too far from the start to remember
Why there's even a fight
I don't wanna even talk anymore
I don't wanna get left behind
Getting nowhere, tired of fighting
Put the gun down, do the right thing
That won't fix it any quicker
We don't have to pull the trigger
Come along, just show some mercy
Do you really wanna hurt me?
That won't fix it any quicker
We don't have to pull the trigger
That won't fix it any quicker
We don't have to pull the trigger
That won't fix it any quicker
We don't have to pull the trigger
Why can't we talk about it
Why don't we try
I think we can change our minds
If we could just look at it through each other's eyes
Instead of letting bullets fly
Maybe we could just meet in the middle
Do we have to take sides?
Settle down and we don't have to go to war
Why don't we just take our time?
Getting nowhere, tired of fighting
Put the gun down, do the right thing
That won't fix it any quicker
We don't have to pull the trigger
Come along, just show some mercy
Do you really wanna hurt me?
That won't fix it any quicker
We don't have to pull the trigger
That won't fix it any quicker
We don't have to pull the trigger
That won't fix it any quicker
We don't have to pull the trigger
I don't know, I don't know where we started
I don't know, I don't know where we're going
All I know is it won't make a difference
That won't fix it any quicker
We don't have to pull the trigger oh oh, no no no oh
That won't fix it any quicker
We don't have to pull the trigger
We don't, no, we don't
No, we don't, no, we don't
That won't fix it any quicker
We don't have to pull the trigger",True,en
a3411007-779d-4c3d-8882-5f62328c4156,Alarm (John Hill x Stint remix),Anne‐Marie,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,electropop,Pop,Anne-Marie,Alarm (John Hill x Stint remix),"You lay here with me, you're shuttin' down
I smell her on you, I'm focused now
I know what's goin' on in your head, yeah
I know what's happened here in our bed, yeah
Your phone is buzzin', so pick it up
I know she callin', so what the fuck, ah?
I should've known a cheat stays a cheater
So here we are

And there goes the alarm ringin' in my head
Like somebody said, ""Don't you trust him?"" No.
Textin' from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he gotta get you
Karma is a bitch, yeah
Same way that they come that's the way they go
Now he gotta get you
Rewindin' the picture
There goes the alarm and the siren's go

There goes the alarm
I saw it comin', I let it go
My girls will tell me, ""I told you so.""
But I was so intrigued by your style, boy
Always been a sucker for a wild boy
I'm better than this, I know my worth
I might be gettin' what I deserve
But I ain't stickin' 'round for the rerun
What's done is done

And there goes the alarm ringin' in my head
Like somebody said, ""Don't you trust him?"" No.
Textin' from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he gotta get you
Karma is a bitch, yeah
Same way that they come that's the way they go
Now he gotta get you
Rewindin' the picture
There goes the alarm and the siren's go

There goes the alarm
Now he gotta get you
Same way that they go
Now he gotta get you
There goes the alarm, yeah
Same way that they go
Now he gotta get you, yeah

Bang bang, two-shots fired
Man down, one fool, one liar
Ring ring, trust gone missin'
House on fire, house on fire
Bang bang, two-shots fired
Man down, one fool, one liar
Ring ring, trust gone missin'
House on fire

And there goes the alarm ringin' in my head
Like somebody said, ""Don't you trust him?"" No.
Textin' from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he gotta get you
Karma is a bitch, yeah
Same way that they come that's the way they go
Now he gotta get you
Rewindin' the picture
There goes the alarm and the siren's go

There goes the alarm
Now he gotta get you
There goes the alarm
There goes the alarm
Now he gotta get you
There goes the alarm
There goes the alarm",True,en
b362a2a8-d52f-4a71-960a-68bbe21cc269,Least I Have You,CocoRosie,e162b2eb-6a42-4240-8c1b-c94d9a0acb73,"pop, indie pop, alternative pop",Pop,CocoRosie,Least I Have You,"Mama had to be man of the house
Papa played mom like cat plays mouse
She had to do what she had to do
She threw him out like an old left shoe

Refused to go, we were too small to know
We'd end up in another state, jail mates
Me and my sister, fate unknown
Tried to call her on the telephone

But we couldn't reach the dial tone
At night, we were scared, and we cried
She told me lullabies to dry my eyes
And chase away the blue
That's what big sisters do
And they chase away the nightmares too

If no one, if no one in the world understands
At least I have you, at least I have you
If no one, if no one in the world understands
At least I have you, at least I have you

Too many moths spoil the broth
Not enough candles, light is lost
Flew off the handle, just an ordinary scandal
My light is lost without you

Had to throw him out too like an old stinky shoe
You taught me how to go for bluebirds
Sing songs without words
It'd be easier to tell you
Just how much I love and miss you

If no one in the world
If no one, if no one in the world understands
At least I have you, at least I have you
If no one, if no one in the world understands
At least I have you (at least I have you), at least I have you (at least I have you)

If no one, if no one in the world understands
At least I have you (at least I have you), at least I have you (at least I have you)",True,en
e8eb86ac-0ed6-4230-90ac-7942892e1690,Luckless,CocoRosie,e162b2eb-6a42-4240-8c1b-c94d9a0acb73,"pop, indie pop, alternative pop",Pop,CocoRosie,Luckless,"Never got my heart broke
Almost lost my head though
Got my shoes on tight
And my dukes up to fight

Never had much luck though
When it comes to makin' love, though
Poppy left me hangin'
With my heart overflow",True,en
bfb3ab4a-f70d-48df-8555-d095ebfafb21,Unbroken,CocoRosie,e162b2eb-6a42-4240-8c1b-c94d9a0acb73,"pop, indie pop, alternative pop",Pop,CocoRosie,Unbroken,"Imagine I was never really broken
Free spirit, loud, maybe soft-spoken
Unbroken, imagine that
I try to stay open
Despite the push and shove
Face in the mud
Crying like the mourning doves
Begging angels to come
But mostly I was alone

Walking graveyards for fun
By the time I was grown
Thought death might be the only way home
Thought death might be the only way home

Imagine
Crying if it is love
I try to stay open
Unbroken

Imagine I was never really broken
Death might be the only way home
What didn't break her made her stronger
I was alone",True,en
0a81ae97-7fdb-45ed-891b-ba3c22375a59,Nothing but Garbage,CocoRosie,e162b2eb-6a42-4240-8c1b-c94d9a0acb73,"pop, indie pop, alternative pop",Pop,CocoRosie,Nothing But Garbage,"Wedding bells will ring in hell
You ain't nothing but garbage

Slutty bitches, stitchy witches
Itchy bitches, too big britches
Broken stitches, bloody wishes
Broken dishes, slutty kisses

Dolly misses, little miss misses
Little miss vicious, little death wishes
Out with the garbage
Nothing but garbage

Junkyard bitches, junkyard marriage
Baby carriage
Go to hell marriage

Love is lost, it's gone
Ain't nothing but garbage
Love is lost, it's rusted and washed
She gave her soul and heart
'Til death do us part
Wedding bells will ring in hell
Ain't nothing but garbage
Ain't nothing but garbage

Love is lost, it's gone
Ain't nothing but garbage
Love is lost, it's rusted and washed
She gave her soul and heart
'Til death do us part
Wedding bells will ring in hell
Ain't nothing but garbage
Ain't nothing but garbage

Faded lover, fast food mother
Lost my brother and my mother
Junkyard mommy, old salami
Feed them candy, street name Sandy

Junkyard bitches full of stitches
What remains is buckets of pain
And countless times that tears filled my eyes
Nothing but garbage
Nothing but garbage

I'm that dark gone bright
I'm that bright gone dark
Collecting dust, time to hit the spark
He never brought me flowers, a liar and a coward
Kept me up late, had me worried from the first date

Can't sleep, waiting like a bird in a cage
Stuck on the same page
Not even hoping for things to change
""Maybe he'll drop dead"", I said
Maybe something will change
Maybe he'll drop dead

Love is lost, it's gone
Ain't nothing but garbage
Love is lost, rusted and washed
She gave her soul and heart
'Til death do us part
Wedding bells will ring in hell
Ain't nothing but garbage
Ain't nothing but garbage
Love is lost, it's gone
Ain't nothing but garbage

On my own now, own best friend now
Buried the rings in the cemetery
With the rest of me, rest is history
Rest in peace, we never said much
We never said much

Earth body, heaven soul
I thank my angels, he let me go
Free bird, skyward go
Searching for home, free bird
Searching for home

Searching for home on the open road
Wind in my hair, memory gone mostly to blur, hazy
Nothing much left, most of it burned
Many lessons learned
Wisdom earned by way of getting burned

Faith, got some, sometimes hopeless
Mostly drifting toward the scent of bliss
Could be, this life between the knife and the kiss
Could be, bliss, if not darkness
Until it lifts (until the darkness lifts)
Bliss

Love is lost, it's gone
Ain't nothing but garbage
The love is lost, rusted and washed
Ain't nothing but garbage",True,en
e90415ac-97fe-45ed-8d55-3c2cabd0b541,Wait for Me,CocoRosie,e162b2eb-6a42-4240-8c1b-c94d9a0acb73,"pop, indie pop, alternative pop",Pop,CocoRosie,Wait For Me,"Wait for me, wait for me
I'll be there
Wait for me, wait for me
I'll be there

Rolling with her junkyard poppy
Never got to fix her sloppy
Hit her when she acted funny
Kiss her when she brought the money

Dreaming of her junky mommy
Crying when she's feeling crummy
Kiss her when she dropped the money
Smile when she's feeling lucky

Wait for me, wait for me
I'll be there

Rolling in her old jalopy
Never could forget her poppy
Left her when she asked for honey
Miss her when the weather's crummy

Dreaming like there's no tomorrow
Giving back the shoes she borrowed
Ask me and I'll tell you why
Cross my heart and hope to die

Wait for me, wait for me
I'll be there
Wait for me, wait for me
I'll be there

Wait for me, wait for me
I'll be there",True,en
