genre,rank,term,coefficient
Country,1,old,2.0100461246590893
Country,2,stands,1.918121479881643
Country,3,loving,1.7718126349341925
Country,4,talk,1.7027798731150845
Country,5,country,1.6258248022577753
Country,6,flesh blood,1.56413760275954
Country,7,left,1.5432871003497088
Country,8,hold,1.5230374067959525
Country,9,business,1.4755339602373072
Country,10,moved,1.4158738846023309
Country,11,ve got,1.40144364607416
Country,12,turn,1.3675459809040493
Country,13,god,1.3646802529871833
Country,14,loves,1.3157176453442276
Country,15,guns,1.3077044847279136
Hip-Hop/Rap,1,nigga,3.2113994743662317
Hip-Hop/Rap,2,uh,2.727817732191351
Hip-Hop/Rap,3,em,2.567906647335497
Hip-Hop/Rap,4,like,2.472190048144596
Hip-Hop/Rap,5,niggas,2.1729170367391313
Hip-Hop/Rap,6,ass,2.059295097487322
Hip-Hop/Rap,7,shit,2.051746744319438
Hip-Hop/Rap,8,fuck,1.962757626441156
Hip-Hop/Rap,9,oh oh,1.88009336063242
Hip-Hop/Rap,10,got,1.866831134458786
Hip-Hop/Rap,11,power,1.7684625860692547
Hip-Hop/Rap,12,soul,1.766792480977374
Hip-Hop/Rap,13,yo,1.7567983187441318
Hip-Hop/Rap,14,make,1.6393872667692426
Hip-Hop/Rap,15,genius,1.5743334018651722
Pop,1,did,2.069433654659139
Pop,2,force,1.9961776562320221
Pop,3,gone,1.905740857001783
Pop,4,fall,1.8251939690229528
Pop,5,believe,1.7164739475216522
Pop,6,ah,1.709528746756865
Pop,7,wrong,1.6524079499111661
Pop,8,just just,1.6439015107649457
Pop,9,satellite,1.599603880975065
Pop,10,killin,1.5920884627963792
Pop,11,wanna come,1.5598466951853447
Pop,12,chinese,1.5330672939541408
Pop,13,calling,1.4690768665857663
Pop,14,dream,1.4548586805371
Pop,15,beat,1.448366017681293
Rock,1,cure,2.0686444418388845
Rock,2,closer,1.9416656796428438
Rock,3,oh,1.8896041612436731
Rock,4,knows,1.6588713888010398
Rock,5,true,1.543938336806593
Rock,6,animal,1.5420421428714386
Rock,7,don need,1.5020995311309793
Rock,8,end,1.4779954309943264
Rock,9,falls,1.4575136979555094
Rock,10,till,1.4301545995703877
Rock,11,freaks,1.4120081274675313
Rock,12,da,1.3811006857555865
Rock,13,da da,1.372329653662774
Rock,14,don care,1.3697891951920933
Rock,15,friday,1.3642457794556024
